"COUNTRY_AREA_TERRITORY","MMWR_WEEKSTARTDATE","ILI_CASE","ILI_OUTPATIENTS","SARI_CASE","SARI_INPATIENTS","ili_1000","sari_100","MMWR_WEEK"
"Bangladesh",2014-10-19,0,0,0,0,0,0,43
"Bhutan",2014-10-19,0,0,0,0,0,0,43
"DPR Korea",2014-10-19,0,0,0,0,0,0,43
"Maldives",2014-10-19,0,0,0,0,0,0,43
"Nepal",2014-10-19,0,0,0,0,0,0,43
"Sri Lanka",2014-10-19,0,0,0,0,0,0,43
"Thailand",2014-10-19,60247,2248541,0,0,2.68,0,43
"Timor-Leste",2014-10-19,0,0,0,0,0,0,43
"All Country",2014-10-19,60247,2248541,0,0,2.68,0,43
"Bangladesh",2014-10-26,0,0,0,0,0,0,44
"Bhutan",2014-10-26,0,0,0,0,0,0,44
"DPR Korea",2014-10-26,0,0,0,0,0,0,44
"Maldives",2014-10-26,0,0,0,0,0,0,44
"Nepal",2014-10-26,0,0,0,0,0,0,44
"Sri Lanka",2014-10-26,0,0,0,0,0,0,44
"Thailand",2014-10-26,59509,2045926,0,0,2.91,0,44
"Timor-Leste",2014-10-26,0,0,0,0,0,0,44
"All Country",2014-10-26,59509,2045926,0,0,2.91,0,44
"Bangladesh",2014-11-02,0,0,0,0,0,0,45
"Bhutan",2014-11-02,209,8580,14,449,2.44,3.12,45
"DPR Korea",2014-11-02,0,0,0,0,0,0,45
"Maldives",2014-11-02,0,0,0,0,0,0,45
"Nepal",2014-11-02,0,0,0,0,0,0,45
"Sri Lanka",2014-11-02,0,0,0,0,0,0,45
"Thailand",2014-11-02,72405,2063796,0,0,3.51,0,45
"Timor-Leste",2014-11-02,0,0,0,0,0,0,45
"All Country",2014-11-02,72614,2072376,14,449,3.5,3.12,45
"Bangladesh",2014-11-09,0,0,0,0,0,0,46
"Bhutan",2014-11-09,0,0,0,0,0,0,46
"DPR Korea",2014-11-09,0,0,0,0,0,0,46
"Maldives",2014-11-09,0,0,0,0,0,0,46
"Nepal",2014-11-09,0,0,0,0,0,0,46
"Sri Lanka",2014-11-09,0,0,0,0,0,0,46
"Thailand",2014-11-09,86351,2485170,0,0,3.47,0,46
"Timor-Leste",2014-11-09,0,0,0,0,0,0,46
"All Country",2014-11-09,86351,2485170,0,0,3.47,0,46
"Bangladesh",2014-11-16,0,0,0,0,0,0,47
"Bhutan",2014-11-16,0,0,0,0,0,0,47
"DPR Korea",2014-11-16,0,0,0,0,0,0,47
"Maldives",2014-11-16,0,0,0,0,0,0,47
"Nepal",2014-11-16,0,0,0,0,0,0,47
"Sri Lanka",2014-11-16,0,0,0,0,0,0,47
"Thailand",2014-11-16,100662,2399202,0,0,4.2,0,47
"Timor-Leste",2014-11-16,0,0,0,0,0,0,47
"All Country",2014-11-16,100662,2399202,0,0,4.2,0,47
"Bangladesh",2014-11-23,0,0,0,0,0,0,48
"Bhutan",2014-11-23,0,0,0,0,0,0,48
"DPR Korea",2014-11-23,0,0,0,0,0,0,48
"Maldives",2014-11-23,0,0,0,0,0,0,48
"Nepal",2014-11-23,0,0,0,0,0,0,48
"Sri Lanka",2014-11-23,0,0,0,0,0,0,48
"Thailand",2014-11-23,100741,2446450,0,0,4.12,0,48
"Timor-Leste",2014-11-23,0,0,0,0,0,0,48
"All Country",2014-11-23,100741,2446450,0,0,4.12,0,48
"Bangladesh",2014-11-30,0,0,0,0,0,0,49
"Bhutan",2014-11-30,0,0,0,0,0,0,49
"DPR Korea",2014-11-30,0,0,0,0,0,0,49
"Maldives",2014-11-30,0,0,0,0,0,0,49
"Nepal",2014-11-30,0,0,0,0,0,0,49
"Sri Lanka",2014-11-30,0,0,0,0,0,0,49
"Thailand",2014-11-30,88863,2170350,0,0,4.09,0,49
"Timor-Leste",2014-11-30,0,0,0,0,0,0,49
"All Country",2014-11-30,88863,2170350,0,0,4.09,0,49
"Bangladesh",2014-12-07,0,0,0,0,0,0,50
"Bhutan",2014-12-07,142,7474,18,405,1.9,4.44,50
"DPR Korea",2014-12-07,0,0,0,0,0,0,50
"Maldives",2014-12-07,0,0,0,0,0,0,50
"Nepal",2014-12-07,0,0,0,0,0,0,50
"Sri Lanka",2014-12-07,0,0,0,0,0,0,50
"Thailand",2014-12-07,91546,2259718,0,0,4.05,0,50
"Timor-Leste",2014-12-07,0,0,0,0,0,0,50
"All Country",2014-12-07,91688,2267192,18,405,4.04,4.44,50
"Bangladesh",2014-12-14,0,0,0,0,0,0,51
"Bhutan",2014-12-14,0,0,0,0,0,0,51
"DPR Korea",2014-12-14,0,0,0,0,0,0,51
"Maldives",2014-12-14,0,0,0,0,0,0,51
"Nepal",2014-12-14,0,0,0,0,0,0,51
"Sri Lanka",2014-12-14,0,0,0,0,0,0,51
"Thailand",2014-12-14,91097,2389649,0,0,3.81,0,51
"Timor-Leste",2014-12-14,0,0,0,0,0,0,51
"All Country",2014-12-14,91097,2389649,0,0,3.81,0,51
"Bangladesh",2014-12-21,0,0,0,0,0,0,52
"Bhutan",2014-12-21,268,10618,15,348,2.52,4.31,52
"DPR Korea",2014-12-21,0,0,0,0,0,0,52
"Maldives",2014-12-21,0,0,0,0,0,0,52
"Nepal",2014-12-21,0,0,0,0,0,0,52
"Sri Lanka",2014-12-21,0,0,0,0,0,0,52
"Thailand",2014-12-21,93330,2369042,0,0,3.94,0,52
"Timor-Leste",2014-12-21,0,0,0,0,0,0,52
"All Country",2014-12-21,93598,2379660,15,348,3.93,4.31,52
"Bangladesh",2014-12-28,0,0,0,0,0,0,53
"Bhutan",2014-12-28,0,0,0,0,0,0,53
"DPR Korea",2014-12-28,0,0,0,0,0,0,53
"Maldives",2014-12-28,0,0,0,0,0,0,53
"Nepal",2014-12-28,0,0,0,0,0,0,53
"Sri Lanka",2014-12-28,0,0,0,0,0,0,53
"Thailand",2014-12-28,0,0,0,0,0,0,53
"Timor-Leste",2014-12-28,0,0,0,0,0,0,53
"All Country",2014-12-28,0,0,0,0,0,0,53
"Bangladesh",2015-01-04,0,0,0,0,0,0,1
"Bhutan",2015-01-04,123,6876,8,240,1.79,3.33,1
"DPR Korea",2015-01-04,0,0,0,0,0,0,1
"Maldives",2015-01-04,0,0,0,0,0,0,1
"Nepal",2015-01-04,0,0,0,0,0,0,1
"Sri Lanka",2015-01-04,0,0,0,0,0,0,1
"Thailand",2015-01-04,132233,2613698,0,0,5.06,0,1
"Timor-Leste",2015-01-04,0,0,0,0,0,0,1
"All Country",2015-01-04,132356,2620574,8,240,5.05,3.33,1
"Bangladesh",2015-01-11,0,0,0,0,0,0,2
"Bhutan",2015-01-11,0,0,0,0,0,0,2
"DPR Korea",2015-01-11,0,0,0,0,0,0,2
"Maldives",2015-01-11,0,0,0,0,0,0,2
"Nepal",2015-01-11,0,0,0,0,0,0,2
"Sri Lanka",2015-01-11,0,0,0,0,0,0,2
"Thailand",2015-01-11,107024,2492145,0,0,4.29,0,2
"Timor-Leste",2015-01-11,0,0,0,0,0,0,2
"All Country",2015-01-11,107024,2492145,0,0,4.29,0,2
"Bangladesh",2015-01-18,0,0,0,0,0,0,3
"Bhutan",2015-01-18,49,3950,7,244,1.24,2.87,3
"DPR Korea",2015-01-18,0,0,0,0,0,0,3
"Maldives",2015-01-18,0,0,0,0,0,0,3
"Nepal",2015-01-18,0,0,0,0,0,0,3
"Sri Lanka",2015-01-18,0,0,0,0,0,0,3
"Thailand",2015-01-18,117622,2545548,0,0,4.62,0,3
"Timor-Leste",2015-01-18,0,0,0,0,0,0,3
"All Country",2015-01-18,117671,2549498,7,244,4.62,2.87,3
"Bangladesh",2015-01-25,0,0,0,0,0,0,4
"Bhutan",2015-01-25,74,3523,6,315,2.1,1.9,4
"DPR Korea",2015-01-25,0,0,0,0,0,0,4
"Maldives",2015-01-25,0,0,0,0,0,0,4
"Nepal",2015-01-25,0,0,0,0,0,0,4
"Sri Lanka",2015-01-25,0,0,0,0,0,0,4
"Thailand",2015-01-25,118971,2495455,0,0,4.77,0,4
"Timor-Leste",2015-01-25,0,0,0,0,0,0,4
"All Country",2015-01-25,119045,2498978,6,315,4.76,1.9,4
"Bangladesh",2015-02-01,0,0,0,0,0,0,5
"Bhutan",2015-02-01,0,0,0,0,0,0,5
"DPR Korea",2015-02-01,0,0,0,0,0,0,5
"Maldives",2015-02-01,0,0,0,0,0,0,5
"Nepal",2015-02-01,0,0,0,0,0,0,5
"Sri Lanka",2015-02-01,0,0,0,0,0,0,5
"Thailand",2015-02-01,115768,2548119,0,0,4.54,0,5
"Timor-Leste",2015-02-01,0,0,0,0,0,0,5
"All Country",2015-02-01,115768,2548119,0,0,4.54,0,5
"Bangladesh",2015-02-08,0,0,0,0,0,0,6
"Bhutan",2015-02-08,181,6831,19,364,2.65,5.22,6
"DPR Korea",2015-02-08,0,0,0,0,0,0,6
"Maldives",2015-02-08,0,0,0,0,0,0,6
"Nepal",2015-02-08,0,0,0,0,0,0,6
"Sri Lanka",2015-02-08,0,0,0,0,0,0,6
"Thailand",2015-02-08,117198,2572988,0,0,4.55,0,6
"Timor-Leste",2015-02-08,0,0,0,0,0,0,6
"All Country",2015-02-08,117379,2579819,19,364,4.55,5.22,6
"Bangladesh",2015-02-15,0,0,0,0,0,0,7
"Bhutan",2015-02-15,190,4020,13,272,4.73,4.78,7
"DPR Korea",2015-02-15,0,0,0,0,0,0,7
"Maldives",2015-02-15,0,0,0,0,0,0,7
"Nepal",2015-02-15,0,0,0,0,0,0,7
"Sri Lanka",2015-02-15,0,0,0,0,0,0,7
"Thailand",2015-02-15,106500,2513728,0,0,4.24,0,7
"Timor-Leste",2015-02-15,0,0,0,0,0,0,7
"All Country",2015-02-15,106690,2517748,13,272,4.24,4.78,7
"Bangladesh",2015-02-22,0,0,0,0,0,0,8
"Bhutan",2015-02-22,94,4620,13,371,2.03,3.5,8
"DPR Korea",2015-02-22,0,0,0,0,0,0,8
"Maldives",2015-02-22,0,0,0,0,0,0,8
"Nepal",2015-02-22,0,0,0,0,0,0,8
"Sri Lanka",2015-02-22,0,0,0,0,0,0,8
"Thailand",2015-02-22,97324,2491548,0,0,3.91,0,8
"Timor-Leste",2015-02-22,0,0,0,0,0,0,8
"All Country",2015-02-22,97418,2496168,13,371,3.9,3.5,8
"Bangladesh",2015-03-01,0,0,0,0,0,0,9
"Bhutan",2015-03-01,0,0,0,0,0,0,9
"DPR Korea",2015-03-01,0,0,0,0,0,0,9
"Maldives",2015-03-01,0,0,0,0,0,0,9
"Nepal",2015-03-01,0,0,0,0,0,0,9
"Sri Lanka",2015-03-01,0,0,0,0,0,0,9
"Thailand",2015-03-01,89893,2310850,0,0,3.89,0,9
"Timor-Leste",2015-03-01,0,0,0,0,0,0,9
"All Country",2015-03-01,89893,2310850,0,0,3.89,0,9
"Bangladesh",2015-03-08,0,0,0,0,0,0,10
"Bhutan",2015-03-08,0,0,0,0,0,0,10
"DPR Korea",2015-03-08,0,0,0,0,0,0,10
"Maldives",2015-03-08,0,0,0,0,0,0,10
"Nepal",2015-03-08,0,0,0,0,0,0,10
"Sri Lanka",2015-03-08,0,0,0,0,0,0,10
"Thailand",2015-03-08,86770,2609238,0,0,3.33,0,10
"Timor-Leste",2015-03-08,0,0,0,0,0,0,10
"All Country",2015-03-08,86770,2609238,0,0,3.33,0,10
"Bangladesh",2015-03-15,0,0,0,0,0,0,11
"Bhutan",2015-03-15,0,0,0,0,0,0,11
"DPR Korea",2015-03-15,0,0,0,0,0,0,11
"Maldives",2015-03-15,0,0,0,0,0,0,11
"Nepal",2015-03-15,0,0,0,0,0,0,11
"Sri Lanka",2015-03-15,0,0,0,0,0,0,11
"Thailand",2015-03-15,79656,2559456,0,0,3.11,0,11
"Timor-Leste",2015-03-15,0,0,0,0,0,0,11
"All Country",2015-03-15,79656,2559456,0,0,3.11,0,11
"Bangladesh",2015-03-22,0,0,0,0,0,0,12
"Bhutan",2015-03-22,0,0,0,0,0,0,12
"DPR Korea",2015-03-22,0,0,0,0,0,0,12
"Maldives",2015-03-22,0,0,0,0,0,0,12
"Nepal",2015-03-22,0,0,0,0,0,0,12
"Sri Lanka",2015-03-22,0,0,0,0,0,0,12
"Thailand",2015-03-22,72257,2496905,0,0,2.89,0,12
"Timor-Leste",2015-03-22,0,0,0,0,0,0,12
"All Country",2015-03-22,72257,2496905,0,0,2.89,0,12
"Bangladesh",2015-03-29,0,0,0,0,0,0,13
"Bhutan",2015-03-29,0,0,0,0,0,0,13
"DPR Korea",2015-03-29,0,0,0,0,0,0,13
"Maldives",2015-03-29,0,0,0,0,0,0,13
"Nepal",2015-03-29,0,0,0,0,0,0,13
"Sri Lanka",2015-03-29,0,0,0,0,0,0,13
"Thailand",2015-03-29,63857,2442621,0,0,2.61,0,13
"Timor-Leste",2015-03-29,0,0,0,0,0,0,13
"All Country",2015-03-29,63857,2442621,0,0,2.61,0,13
"Bangladesh",2015-04-05,0,0,0,0,0,0,14
"Bhutan",2015-04-05,0,0,0,0,0,0,14
"DPR Korea",2015-04-05,0,0,0,0,0,0,14
"Maldives",2015-04-05,0,0,0,0,0,0,14
"Nepal",2015-04-05,0,0,0,0,0,0,14
"Sri Lanka",2015-04-05,0,0,0,0,0,0,14
"Thailand",2015-04-05,55207,2296289,0,0,2.4,0,14
"Timor-Leste",2015-04-05,0,0,0,0,0,0,14
"All Country",2015-04-05,55207,2296289,0,0,2.4,0,14
"Bangladesh",2015-04-12,0,0,0,0,0,0,15
"Bhutan",2015-04-12,0,0,0,0,0,0,15
"DPR Korea",2015-04-12,0,0,0,0,0,0,15
"Maldives",2015-04-12,0,0,0,0,0,0,15
"Nepal",2015-04-12,0,0,0,0,0,0,15
"Sri Lanka",2015-04-12,0,0,0,0,0,0,15
"Thailand",2015-04-12,51213,1497049,0,0,3.42,0,15
"Timor-Leste",2015-04-12,0,0,0,0,0,0,15
"All Country",2015-04-12,51213,1497049,0,0,3.42,0,15
"Bangladesh",2015-04-19,0,0,0,0,0,0,16
"Bhutan",2015-04-19,269,7580,24,281,3.55,8.54,16
"DPR Korea",2015-04-19,0,0,0,0,0,0,16
"Maldives",2015-04-19,0,0,0,0,0,0,16
"Nepal",2015-04-19,0,0,0,0,0,0,16
"Sri Lanka",2015-04-19,0,0,0,0,0,0,16
"Thailand",2015-04-19,59811,3312102,0,0,1.81,0,16
"Timor-Leste",2015-04-19,0,0,0,0,0,0,16
"All Country",2015-04-19,60080,3319682,24,281,1.81,8.54,16
"Bangladesh",2015-04-26,0,0,0,0,0,0,17
"Bhutan",2015-04-26,230,6441,12,350,3.57,3.43,17
"DPR Korea",2015-04-26,0,0,0,0,0,0,17
"Maldives",2015-04-26,0,0,0,0,0,0,17
"Nepal",2015-04-26,0,0,0,0,0,0,17
"Sri Lanka",2015-04-26,0,0,0,0,0,0,17
"Thailand",2015-04-26,54748,2491053,0,0,2.2,0,17
"Timor-Leste",2015-04-26,0,0,0,0,0,0,17
"All Country",2015-04-26,54978,2497494,12,350,2.2,3.43,17
"Bangladesh",2015-05-03,0,0,0,0,0,0,18
"Bhutan",2015-05-03,0,0,0,0,0,0,18
"DPR Korea",2015-05-03,0,0,0,0,0,0,18
"Maldives",2015-05-03,0,0,0,0,0,0,18
"Nepal",2015-05-03,0,0,0,0,0,0,18
"Sri Lanka",2015-05-03,0,0,0,0,0,0,18
"Thailand",2015-05-03,50302,2026012,0,0,2.48,0,18
"Timor-Leste",2015-05-03,0,0,0,0,0,0,18
"All Country",2015-05-03,50302,2026012,0,0,2.48,0,18
"Bangladesh",2015-05-10,0,0,0,0,0,0,19
"Bhutan",2015-05-10,0,0,0,0,0,0,19
"DPR Korea",2015-05-10,0,0,0,0,0,0,19
"Maldives",2015-05-10,0,0,0,0,0,0,19
"Nepal",2015-05-10,0,0,0,0,0,0,19
"Sri Lanka",2015-05-10,0,0,0,0,0,0,19
"Thailand",2015-05-10,52261,2348413,0,0,2.23,0,19
"Timor-Leste",2015-05-10,0,0,0,0,0,0,19
"All Country",2015-05-10,52261,2348413,0,0,2.23,0,19
"Bangladesh",2015-05-17,0,0,0,0,0,0,20
"Bhutan",2015-05-17,201,7357,19,356,2.73,5.34,20
"DPR Korea",2015-05-17,0,0,0,0,0,0,20
"Maldives",2015-05-17,0,0,0,0,0,0,20
"Nepal",2015-05-17,0,0,0,0,0,0,20
"Sri Lanka",2015-05-17,0,0,0,0,0,0,20
"Thailand",2015-05-17,58422,2573946,0,0,2.27,0,20
"Timor-Leste",2015-05-17,0,0,0,0,0,0,20
"All Country",2015-05-17,58623,2581303,19,356,2.27,5.34,20
"Bangladesh",2015-05-24,0,0,0,0,0,0,21
"Bhutan",2015-05-24,0,0,0,0,0,0,21
"DPR Korea",2015-05-24,0,0,0,0,0,0,21
"Maldives",2015-05-24,0,0,0,0,0,0,21
"Nepal",2015-05-24,0,0,0,0,0,0,21
"Sri Lanka",2015-05-24,0,0,0,0,0,0,21
"Thailand",2015-05-24,72209,2643872,0,0,2.73,0,21
"Timor-Leste",2015-05-24,0,0,0,0,0,0,21
"All Country",2015-05-24,72209,2643872,0,0,2.73,0,21
"Bangladesh",2015-05-31,0,0,0,0,0,0,22
"Bhutan",2015-05-31,0,0,0,0,0,0,22
"DPR Korea",2015-05-31,0,0,0,0,0,0,22
"Maldives",2015-05-31,0,0,0,0,0,0,22
"Nepal",2015-05-31,0,0,0,0,0,0,22
"Sri Lanka",2015-05-31,0,0,0,0,0,0,22
"Thailand",2015-05-31,76771,2307239,0,0,3.33,0,22
"Timor-Leste",2015-05-31,0,0,0,0,0,0,22
"All Country",2015-05-31,76771,2307239,0,0,3.33,0,22
"Bangladesh",2015-06-07,0,0,0,0,0,0,23
"Bhutan",2015-06-07,0,0,0,0,0,0,23
"DPR Korea",2015-06-07,0,0,0,0,0,0,23
"Maldives",2015-06-07,0,0,0,0,0,0,23
"Nepal",2015-06-07,0,0,0,0,0,0,23
"Sri Lanka",2015-06-07,0,0,0,0,0,0,23
"Thailand",2015-06-07,83405,2625757,0,0,3.18,0,23
"Timor-Leste",2015-06-07,0,0,0,0,0,0,23
"All Country",2015-06-07,83405,2625757,0,0,3.18,0,23
"Bangladesh",2015-06-14,0,0,0,0,0,0,24
"Bhutan",2015-06-14,156,7794,20,317,2,6.31,24
"DPR Korea",2015-06-14,0,0,0,0,0,0,24
"Maldives",2015-06-14,0,0,0,0,0,0,24
"Nepal",2015-06-14,0,0,0,0,0,0,24
"Sri Lanka",2015-06-14,0,0,0,0,0,0,24
"Thailand",2015-06-14,86672,2582006,0,0,3.36,0,24
"Timor-Leste",2015-06-14,0,0,0,0,0,0,24
"All Country",2015-06-14,86828,2589800,20,317,3.35,6.31,24
"Bangladesh",2015-06-21,0,0,0,0,0,0,25
"Bhutan",2015-06-21,0,0,0,0,0,0,25
"DPR Korea",2015-06-21,0,0,0,0,0,0,25
"Maldives",2015-06-21,0,0,0,0,0,0,25
"Nepal",2015-06-21,0,0,0,0,0,0,25
"Sri Lanka",2015-06-21,0,0,0,0,0,0,25
"Thailand",2015-06-21,92914,2606996,0,0,3.56,0,25
"Timor-Leste",2015-06-21,0,0,0,0,0,0,25
"All Country",2015-06-21,92914,2606996,0,0,3.56,0,25
"Bangladesh",2015-06-28,0,0,0,0,0,0,26
"Bhutan",2015-06-28,0,0,0,0,0,0,26
"DPR Korea",2015-06-28,0,0,0,0,0,0,26
"Maldives",2015-06-28,0,0,0,0,0,0,26
"Nepal",2015-06-28,0,0,0,0,0,0,26
"Sri Lanka",2015-06-28,0,0,0,0,0,0,26
"Thailand",2015-06-28,89705,2528408,0,0,3.55,0,26
"Timor-Leste",2015-06-28,0,0,0,0,0,0,26
"All Country",2015-06-28,89705,2528408,0,0,3.55,0,26
"Bangladesh",2015-07-05,0,0,0,0,0,0,27
"Bhutan",2015-07-05,126,6770,18,277,1.86,6.5,27
"DPR Korea",2015-07-05,0,0,0,0,0,0,27
"Maldives",2015-07-05,0,0,0,0,0,0,27
"Nepal",2015-07-05,0,0,0,0,0,0,27
"Sri Lanka",2015-07-05,0,0,0,0,0,0,27
"Thailand",2015-07-05,82782,2504767,0,0,3.3,0,27
"Timor-Leste",2015-07-05,0,0,0,0,0,0,27
"All Country",2015-07-05,82908,2511537,18,277,3.3,6.5,27
"Bangladesh",2015-07-12,0,0,0,0,0,0,28
"Bhutan",2015-07-12,0,0,0,0,0,0,28
"DPR Korea",2015-07-12,0,0,0,0,0,0,28
"Maldives",2015-07-12,0,0,0,0,0,0,28
"Nepal",2015-07-12,0,0,0,0,0,0,28
"Sri Lanka",2015-07-12,0,0,0,0,0,0,28
"Thailand",2015-07-12,77263,2510325,0,0,3.08,0,28
"Timor-Leste",2015-07-12,0,0,0,0,0,0,28
"All Country",2015-07-12,77263,2510325,0,0,3.08,0,28
"Bangladesh",2015-07-19,0,0,0,0,0,0,29
"Bhutan",2015-07-19,0,0,0,0,0,0,29
"DPR Korea",2015-07-19,0,0,0,0,0,0,29
"Maldives",2015-07-19,0,0,0,0,0,0,29
"Nepal",2015-07-19,0,0,0,0,0,0,29
"Sri Lanka",2015-07-19,0,0,0,0,0,0,29
"Thailand",2015-07-19,81716,2542524,0,0,3.21,0,29
"Timor-Leste",2015-07-19,0,0,0,0,0,0,29
"All Country",2015-07-19,81716,2542524,0,0,3.21,0,29
"Bangladesh",2015-07-26,0,0,0,0,0,0,30
"Bhutan",2015-07-26,0,0,0,0,0,0,30
"DPR Korea",2015-07-26,0,0,0,0,0,0,30
"Maldives",2015-07-26,0,0,0,0,0,0,30
"Nepal",2015-07-26,0,0,0,0,0,0,30
"Sri Lanka",2015-07-26,0,0,0,0,0,0,30
"Thailand",2015-07-26,74116,1869216,0,0,3.97,0,30
"Timor-Leste",2015-07-26,0,0,0,0,0,0,30
"All Country",2015-07-26,74116,1869216,0,0,3.97,0,30
"Bangladesh",2015-08-02,0,0,0,0,0,0,31
"Bhutan",2015-08-02,0,0,0,0,0,0,31
"DPR Korea",2015-08-02,0,0,0,0,0,0,31
"Maldives",2015-08-02,0,0,0,0,0,0,31
"Nepal",2015-08-02,0,0,0,0,0,0,31
"Sri Lanka",2015-08-02,0,0,0,0,0,0,31
"Thailand",2015-08-02,87885,2539880,0,0,3.46,0,31
"Timor-Leste",2015-08-02,0,0,0,0,0,0,31
"All Country",2015-08-02,87885,2539880,0,0,3.46,0,31
"Bangladesh",2015-08-09,0,0,0,0,0,0,32
"Bhutan",2015-08-09,183,7892,18,325,2.32,5.54,32
"DPR Korea",2015-08-09,0,0,0,0,0,0,32
"Maldives",2015-08-09,0,0,0,0,0,0,32
"Nepal",2015-08-09,0,0,0,0,0,0,32
"Sri Lanka",2015-08-09,0,0,0,0,0,0,32
"Thailand",2015-08-09,87640,2221813,0,0,3.94,0,32
"Timor-Leste",2015-08-09,0,0,0,0,0,0,32
"All Country",2015-08-09,87823,2229705,18,325,3.94,5.54,32
"Bangladesh",2015-08-16,0,0,0,0,0,0,33
"Bhutan",2015-08-16,208,7747,15,301,2.68,4.98,33
"DPR Korea",2015-08-16,0,0,0,0,0,0,33
"Maldives",2015-08-16,0,0,0,0,0,0,33
"Nepal",2015-08-16,0,0,0,0,0,0,33
"Sri Lanka",2015-08-16,0,0,0,0,0,0,33
"Thailand",2015-08-16,95548,2545826,0,0,3.75,0,33
"Timor-Leste",2015-08-16,0,0,0,0,0,0,33
"All Country",2015-08-16,95756,2553573,15,301,3.75,4.98,33
"Bangladesh",2015-08-23,0,0,0,0,0,0,34
"Bhutan",2015-08-23,189,8459,7,275,2.23,2.55,34
"DPR Korea",2015-08-23,0,0,0,0,0,0,34
"Maldives",2015-08-23,0,0,0,0,0,0,34
"Nepal",2015-08-23,0,0,0,0,0,0,34
"Sri Lanka",2015-08-23,0,0,0,0,0,0,34
"Thailand",2015-08-23,96742,2424107,0,0,3.99,0,34
"Timor-Leste",2015-08-23,0,0,0,0,0,0,34
"All Country",2015-08-23,96931,2432566,7,275,3.98,2.55,34
"Bangladesh",2015-08-30,0,0,0,0,0,0,35
"Bhutan",2015-08-30,0,0,0,0,0,0,35
"DPR Korea",2015-08-30,0,0,0,0,0,0,35
"Maldives",2015-08-30,0,0,0,0,0,0,35
"Nepal",2015-08-30,0,0,0,0,0,0,35
"Sri Lanka",2015-08-30,0,0,0,0,0,0,35
"Thailand",2015-08-30,96726,2384659,0,0,4.06,0,35
"Timor-Leste",2015-08-30,0,0,0,0,0,0,35
"All Country",2015-08-30,96726,2384659,0,0,4.06,0,35
"Bangladesh",2015-09-06,0,0,0,0,0,0,36
"Bhutan",2015-09-06,0,0,0,0,0,0,36
"DPR Korea",2015-09-06,0,0,0,0,0,0,36
"Maldives",2015-09-06,0,0,0,0,0,0,36
"Nepal",2015-09-06,0,0,0,0,0,0,36
"Sri Lanka",2015-09-06,0,0,0,0,0,0,36
"Thailand",2015-09-06,98779,2395898,0,0,4.12,0,36
"Timor-Leste",2015-09-06,0,0,0,0,0,0,36
"All Country",2015-09-06,98779,2395898,0,0,4.12,0,36
"Bangladesh",2015-09-13,0,0,0,0,0,0,37
"Bhutan",2015-09-13,0,0,0,0,0,0,37
"DPR Korea",2015-09-13,0,0,0,0,0,0,37
"Maldives",2015-09-13,0,0,0,0,0,0,37
"Nepal",2015-09-13,0,0,0,0,0,0,37
"Sri Lanka",2015-09-13,0,0,0,0,0,0,37
"Thailand",2015-09-13,91600,2260544,0,0,4.05,0,37
"Timor-Leste",2015-09-13,0,0,0,0,0,0,37
"All Country",2015-09-13,91600,2260544,0,0,4.05,0,37
"Bangladesh",2015-09-20,0,0,0,0,0,0,38
"Bhutan",2015-09-20,193,7604,12,309,2.54,3.88,38
"DPR Korea",2015-09-20,0,0,0,0,0,0,38
"Maldives",2015-09-20,0,0,0,0,0,0,38
"Nepal",2015-09-20,0,0,0,0,0,0,38
"Sri Lanka",2015-09-20,0,0,0,0,0,0,38
"Thailand",2015-09-20,89489,2088232,0,0,4.29,0,38
"Timor-Leste",2015-09-20,0,0,0,0,0,0,38
"All Country",2015-09-20,89682,2095836,12,309,4.28,3.88,38
"Bangladesh",2015-09-27,0,0,0,0,0,0,39
"Bhutan",2015-09-27,196,8433,17,260,2.32,6.54,39
"DPR Korea",2015-09-27,0,0,0,0,0,0,39
"Maldives",2015-09-27,0,0,0,0,0,0,39
"Nepal",2015-09-27,0,0,0,0,0,0,39
"Sri Lanka",2015-09-27,0,0,0,0,0,0,39
"Thailand",2015-09-27,94113,2209139,0,0,4.26,0,39
"Timor-Leste",2015-09-27,0,0,0,0,0,0,39
"All Country",2015-09-27,94309,2217572,17,260,4.25,6.54,39
"Bangladesh",2015-10-04,0,0,0,0,0,0,40
"Bhutan",2015-10-04,0,0,0,0,0,0,40
"DPR Korea",2015-10-04,0,0,0,0,0,0,40
"Maldives",2015-10-04,0,0,0,0,0,0,40
"Nepal",2015-10-04,0,0,0,0,0,0,40
"Sri Lanka",2015-10-04,0,0,0,0,0,0,40
"Thailand",2015-10-04,96043,2233206,0,0,4.3,0,40
"Timor-Leste",2015-10-04,0,0,0,0,0,0,40
"All Country",2015-10-04,96043,2233206,0,0,4.3,0,40
"Bangladesh",2015-10-11,0,0,0,0,0,0,41
"Bhutan",2015-10-11,222,8094,13,280,2.74,4.64,41
"DPR Korea",2015-10-11,0,0,0,0,0,0,41
"Maldives",2015-10-11,0,0,0,0,0,0,41
"Nepal",2015-10-11,0,0,0,0,0,0,41
"Sri Lanka",2015-10-11,0,0,0,0,0,0,41
"Thailand",2015-10-11,87176,2048803,0,0,4.25,0,41
"Timor-Leste",2015-10-11,0,0,0,0,0,0,41
"All Country",2015-10-11,87398,2056897,13,280,4.25,4.64,41
"Bangladesh",2015-10-18,0,0,0,0,0,0,42
"Bhutan",2015-10-18,0,0,0,0,0,0,42
"DPR Korea",2015-10-18,0,0,0,0,0,0,42
